GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC13
Id,Id2,Geography,Households; Estimate; Median income (dollars)
1400000US42003202200,42003202200,"Census Tract 2022, Allegheny County, Pennsylvania",43750
1400000US42003202300,42003202300,"Census Tract 2023, Allegheny County, Pennsylvania",60820
1400000US42003210700,42003210700,"Census Tract 2107, Allegheny County, Pennsylvania",40711
1400000US42003220600,42003220600,"Census Tract 2206, Allegheny County, Pennsylvania",41076
1400000US42003240600,42003240600,"Census Tract 2406, Allegheny County, Pennsylvania",44028
1400000US42003241200,42003241200,"Census Tract 2412, Allegheny County, Pennsylvania",31314
1400000US42003250300,42003250300,"Census Tract 2503, Allegheny County, Pennsylvania",39500
1400000US42003250700,42003250700,"Census Tract 2507, Allegheny County, Pennsylvania",20000
1400000US42003250900,42003250900,"Census Tract 2509, Allegheny County, Pennsylvania",26332
1400000US42003260200,42003260200,"Census Tract 2602, Allegheny County, Pennsylvania",45075
1400000US42003260700,42003260700,"Census Tract 2607, Allegheny County, Pennsylvania",52500
1400000US42003260900,42003260900,"Census Tract 2609, Allegheny County, Pennsylvania",12742
1400000US42003261200,42003261200,"Census Tract 2612, Allegheny County, Pennsylvania",65000
1400000US42003261400,42003261400,"Census Tract 2614, Allegheny County, Pennsylvania",30366
1400000US42003261500,42003261500,"Census Tract 2615, Allegheny County, Pennsylvania",32768
1400000US42003262000,42003262000,"Census Tract 2620, Allegheny County, Pennsylvania",26339
1400000US42003270100,42003270100,"Census Tract 2701, Allegheny County, Pennsylvania",52931
1400000US42003270300,42003270300,"Census Tract 2703, Allegheny County, Pennsylvania",38393
1400000US42003270400,42003270400,"Census Tract 2704, Allegheny County, Pennsylvania",41087
1400000US42003270800,42003270800,"Census Tract 2708, Allegheny County, Pennsylvania",65709
1400000US42003271500,42003271500,"Census Tract 2715, Allegheny County, Pennsylvania",36364
1400000US42003281400,42003281400,"Census Tract 2814, Allegheny County, Pennsylvania",35417
1400000US42003281500,42003281500,"Census Tract 2815, Allegheny County, Pennsylvania",49405
1400000US42003290100,42003290100,"Census Tract 2901, Allegheny County, Pennsylvania",34840
1400000US42003290200,42003290200,"Census Tract 2902, Allegheny County, Pennsylvania",38264
1400000US42003290400,42003290400,"Census Tract 2904, Allegheny County, Pennsylvania",42708
1400000US42003300100,42003300100,"Census Tract 3001, Allegheny County, Pennsylvania",30426
1400000US42003310200,42003310200,"Census Tract 3102, Allegheny County, Pennsylvania",47554
1400000US42003310300,42003310300,"Census Tract 3103, Allegheny County, Pennsylvania",70221
1400000US42003320400,42003320400,"Census Tract 3204, Allegheny County, Pennsylvania",45203
1400000US42003320600,42003320600,"Census Tract 3206, Allegheny County, Pennsylvania",51383
1400000US42003320700,42003320700,"Census Tract 3207, Allegheny County, Pennsylvania",47891
1400000US42003401100,42003401100,"Census Tract 4011, Allegheny County, Pennsylvania",55154
1400000US42003401200,42003401200,"Census Tract 4012, Allegheny County, Pennsylvania",30556
1400000US42003401300,42003401300,"Census Tract 4013, Allegheny County, Pennsylvania",65175
1400000US42003402000,42003402000,"Census Tract 4020, Allegheny County, Pennsylvania",40753
1400000US42003403500,42003403500,"Census Tract 4035, Allegheny County, Pennsylvania",33026
1400000US42003404000,42003404000,"Census Tract 4040, Allegheny County, Pennsylvania",48158
1400000US42003405000,42003405000,"Census Tract 4050, Allegheny County, Pennsylvania",56058
1400000US42003406000,42003406000,"Census Tract 4060, Allegheny County, Pennsylvania",59112
1400000US42003407001,42003407001,"Census Tract 4070.01, Allegheny County, Pennsylvania",53445
